NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
145,"The Term “Type I, Method B” Refers To Which Classification Of Penetrant Inspection",Water washable Visible dye,Solvent removable visible dye ,Water washable Fluorescent dye,None of the above,D,Penetrant Testing (Specific)
146,Which Of The Following Is The Most Effective Method For The Detection Of Extremely Deep-Lying Defects: ,Dry residual method using DC surge,Wet continuous method using half wave rectified current,Wet residual method,Dry continuous method using half wave rectified current with prods,D,MPT (Specific)
147,Which Type Of Current Has A ‘Skin Effect’?,AC,DC,Half wave rectified,Full wave rectified,A,MPT (Specific)
148,The Area Of Maximum Induced Field Strength Using A Yoke Is:,At the north pole of the yoke,At the south pole of the yoke,The area directly between the poles,on the outside of pole pieces,C,MPT (Specific)
149,The Strongest Magnetic Field In A Coil Is At The:,Outside edge,Inside edge,Centre,End,B,MPT (Specific)
150,Flux Density Is Defined As?,108 lines of flux (1 Wb),The number of lines of force associated with a magnetic field.,The number of lines of flux that intercept an area that is parallel with the flux.,The number of lines of flux that intercept an area that is perpendicular to the flux. ,D,MPT (Specific)
151,An Advantage Of Direct Current Is That?,It is most readily available.,Equipment can be made lighter.,It leaved the part demagnetized.,None of the above,D,MPT (Specific)
152,Wet Magnetic Particle Strength Is Checked By Which Of The Following,Specific gravity,Optical density,Settling test,None of the above,C,MPT (Specific)
153,When The Current Is Passed Through A Part:,The magnetic field is perpendicular to the current flow.,The magnetic Field is uniform for all section of the part.,The magnetic field current density is uniform in all sections of the part.,None of the above is true.,A,MPT (Specific)
154,"In ASTM E 1444 01, The Recommended Amperage Range For Circular Magnetization Of Parts Using A Direct Current Source Is?",500 to 700 A / Inch,300 to 800 A / Inch,1200 to 1400 A / Inch,The maximum available current to ensure total magnetization,B,MPT (Specific)
155,How Many Ampere-Turns Are Required To Magnetize A Part That Is 406 Mm (16 Inch) Long And 50.8 Mm (2 Inch) In Diameter? ,9000 Ampere-turns ,5625 Ampere-turns,2812 Ampere-turns,40 Ampere-turns,B,MPT (Specific)
156,Which Statement Is True When Related To Magnetic Lines Of Force,They never cross,They are most dense at the poles of a magnet,They seek the path of least resistance,All of the above,D,MPT (Specific)
157,The Best Type Of Current For Detecting Fatigue Cracks Is:,Half Wave Direct Current,Alternative Current,Direct Current,HAWK,B,MPT (Specific)
158,The Magnetic Particles Indication Of A Porosity Will Normally Be A:,round or elliptical indication,jagged indications,continuous line,dotted line,A,MPT (Specific)
159,"When Conducting A Magnetic Particles Test, Fuzzy Indications On The Surface Of A Part Could Be Indicative Of:",fatigue cracks,subsurface slag Inclusion,weld laps,hot tears,B,MPT (Specific)
160,Which Of The Following Is A Possible Cause For False Magnetic Particle Indications?,Excessive magnetization,Surface Crack,Hot tears in a casting,Internal burst in a forging,A,MPT (Specific)
161,An Electric Current Through A Copper Wire:,Creates a magnetic field around the wire,Creates magnetic poles in the wire,Magnetizes the wire,Does not create a magnetic field,A,MPT (Specific)
162,A Five-Turn Coil Will Be Used On A Part That Is 18 Inch Long And 1.5 Inch In Diameter. What Is The Length-To-Diameter Ratio Of The Part If 5000 A Of Magnetization Current Is Used?,90,12,16.5,1.8,D,MPT (Specific)
163,The Latest Revision Of Specifications ASTM E1444 Requires That The White Light Intensity For Testing With Visible Magnetic Particles Be:,900 lux (90 FC) at the part surface,1000 lux (100 FC) at the part surface,1250 lux (125 FC) at the part surface,2000 lux (200 FC) at the part surface,B,MPT (Specific)
164,Retentivity:,Represents the ability to induce magnetism in a ferromagnetic body by an outside magnetising force,Represents the ability of a material to resist the establishment of magnetic flux within it,Represents the ability of a material to retain a portion of the magnetic field set up in it after the magnetising force has been removed,Is not a term used in magnetic particle testing,C,MPT (Specific)
165,"Personnel Performing MPI, In Accordance To ASTM E 1444 Shall Be Qualified In Accordance With:",ASNT Recommended Practice # SNT-TC-1A or ANSI/ASNT Standard CP-189,NAS 410,As specified in contract or purchase order.,All of the above,D,MPT (Specific)
166,MPI Procedure Shall Include At Least:,"No, Date, Part No, Material, MPI sequence.","Quality Checks, area of interest, part preparation, positioning in MPI equipment and Magnetization method and magnetization direction, current level.","Type of inspection medium, marking plan, acceptance criteria, demagnetization & post cleaning.",All of the above,D,MPT (Specific)
167,Which One Of The Following Quality Check Will Not Be Performed Daily?,Black Light intensity,Water break test,"Yoke, dead weight lift test",None of the Above,D,MPT (Specific)
168,An Electrical Yoke Produces:,A longitudinal field,A circular field,Alternating fields,A swinging field,A,MPT (Specific)
169,"Ambient Visible Light, For Fluorescent Magnetic Particle Testing Shall Not Be More Than:",2 Ftc (20 lux),1000 µW/cm2,100 Ftc (1000 lux),None of the above,A,MPT (Specific)
170,Inspection Medium (Wet And Dry Method) Shall Comply With The Minimum Requirements Of:,"AMS 3040, 3041","AMS 3042, 3043","AMS 3044, 3045","a, b, c are correct",D,MPT (Specific)
171,In Longitudinal Magnetisation The Proper Term For Calculating Magnetising Force Is:,Amperes,Ampere-turns,Watts,Ohms,B,MPT (Specific)
172,Particle Concentration In Wet Fluorescent Suspension Bath Shall Be:,1.2 to 2.4 ml in 100 ml,0.1 to 0.4 ml in 100 ml,Fluorescent and non fluorescent particles shall be used together.,None of the above,B,MPT (Specific)
173,"The Dead Weight Lift Checks Of Alternating Current Yokes And Permanent Magnets Shall Be Tested At The Intervals Of 6 Months, It Should Comply With:",DC yoke shall lift 13.5 Kg weight with 2 ~ 4 Inch pole spacing,DC yoke shall lift 22.5 Kg weight with 4 ~ 6 Inch pole spacing,A / C Yokes and Permanent Magnets shall lift 4.5 Kg weight with 2 ~ 6 Inch pole spacing,All of the above,C,MPT (Specific)
174,"For Small Parts, A Dryer Is Required When Which Of The Following Developer Is Used",Aqueous wet developer,Non aqueous wet developer,Dry developers,Only A & C above,D,Penetrant Testing (Specific)
175,"If The Temperature Is Between 40°F To 50°F (4.4°C To 10°C), Dwell Time Shall Be Minimum Of",05 minutes,10 minutes,15 minutes,20 minutes,D,Penetrant Testing (Specific)
176,Emulsifier Dwell Time For Visible Dye Penetrant Is Generally,Longer than for fluorescent penetrants,Much longer than for fluorescent penetrants,The same for fluorescent penetrants,Shorter than for fluorescent penetrants,D,Penetrant Testing (Specific)
177,"According To The Specifications, Which Of The Following Discontinuity Indications Shall Be Cause For Rejection Of The Part Being Tested?",Crack like indications,Indications of incomplete penetration in weld,As specified in acceptance criteria,Indications of cold shut in the casting,C,Penetrant Testing (Specific)
178,Who Is Responsible For Specifying Acceptance Criteria?,Quality Assurance personnel who is NDT level III,The designer,The customer,The government Contractor,B,Penetrant Testing (Specific)
179,"The Parts That Have Been In Service And Could Have Stress Corrosion Cracks Contaminated With Corrosion Products Or Other In Service Soils, Which Of The Following Is The Required Inspection? (Part Is Small And Can Be Brought To Shop And Post Emulsifiable – Lipophilic System Is Most Sensitive) ","Type I, Method A","Type I, Method B","Type I, Method C",Radiographic Testing,B,Penetrant Testing (Specific)
180,Emulsifier Dwell Time Shall Be,As recommended by the supplier,As specified in the specification,Determined experimentally,Controlled by use of a stop watch,C,Penetrant Testing (Specific)
181,"The Human Eye Respond Maximum For, Which Of The Following Colours",Red,Blue,Yellow-green,purple,C,Penetrant Testing (Specific)
182,It Is Often Recommended That Sulphur Content To Be Limited To What Percent Of The Penetrant?,0.01%,0.10%,1.00%,1.10%,C,Penetrant Testing (Specific)
183,It Is Often Recommended That Chloride Content To Be Limited To What Percent Of The Penetrant,0.01%,0.10%,1.00%,1.10%,C,Penetrant Testing (Specific)
184,"For Water Washable Penetrants, While Washing With Nozzle Held At 12 Inches From Surface, What Should Be The Air Pressure?",10 psi,20 psi,25 psi,40 psi,C,Penetrant Testing (Specific)
185,Which Of The Following Developers Is Most Sensitive,Dry,Water-Suspended,Solvent-suspended,Plastic Film,C,Penetrant Testing (Specific)
186,"For Class 2 NWDP, Pitting Shall Not Exceed _____ Inch.",3/16”,1/8”,1/16”,7/8”,A,DS-1
187,OD Gauge Calibration Shall Be Verified After Every _____ Lengths,10,15,20,25,D,DS-1
188,The Tube Body Shall Be Mechanically Gauged From _________ By Dragging The Gauge Along The Tube Length While Rotating The Pipe And Holding The Gauge Perpendicular To The Tube.,Upset to upset,Tong space,Tool Joint,Both a & b,A,DS-1
189,NIST Is Abbreviated As,National Institute of Science & Technology,National Institute of Standards & Technology,National Institute of Standard Testing,None of these,B,DS-1
190,The Hole Size Of Reference Standard Used For Flux Leakage Shall Be ________ In Diameter.,1/16”,1/8”,3/16”,5/16”,A,DS-1
191,The EMI Unit Shall Be Restandardized After Each ______ Lengths,20,30,40,50,D,DS-1
192,"At The Start Of Inspection, Each Indication Exceeding _____Of Standardization Reference Level Shall Be Marked Until A Minimum Of 10 Areas Are Marked",40%,50%,60%,80%,B,DS-1
193,"For Heat Checking Inspection, The Minimum Pole Spacing Of AC Yoke Shall Be ____ Inches",2 inches,3 inches,4 inches,5 inches,A,DS-1
194,The Concentration Of Fluorescent Magnetic Particles Shall Range From ___ To ___ In 100 Ml,0.2 to 0.3ml,0.1 to 0.4ml,0.1 to 0.3ml,0.1 to 0.5ml,B,DS-1
195,The Minimum Settling Time For Water Based Carrier Is,30 mins,1 hour,1.5 hour,Both a & b,A,DS-1
196,The Number Of Ampere-Turns Of DC Coil Shall Be,1000 amp-turns,1200 amp-turns,1500 amp-turns,1800 amp-turns,B,DS-1
197,Ultrasonic Slip/Upset Area Inspection Method Is Used To Detect ________ Flaws On The Inside And Outside Surface Of The Tube.,One-dimensional ,Two-dimensional,Three-dimensional,None of above,C,DS-1
198,"In Ultrasonic Slip/Upset Area Inspection, The Gate Threshold Shall Be Set To ____ Less Than The Reference Levels.",4 dB,6 dB,8 dB,10 dB,B,DS-1
199,Hardbanding Shall Not Be Exceed More Than ____ Inch.,16-Jan,16-Mar,16-May,8-Jan,B,DS-1
200,OD Bevel Width Shall Be ____ Wide Shall Be Present For The Full Circumference On Both Pin & Box,1/32”,1/8”,3/16”,None of these,A,DS-1
201,Any Pitting Or Interruptions Of The Seal Surface That Are Estimated To Exceed ____ Inch In Depth Or Occupy More Than     ____ Of The Seal Width At Any Given Location Are Rejectable,1/32” & 30%,1/32” & 20%,1/16” & 20%,Both b & c,B,DS-1
202,Refacing Limit Shall Not Be More Than ____ Cumulatively,1/16”,1/32”,1/64”,1/8”,A,DS-1
203,Pin Stretch Shall Not Exceed _____ Inch Over The 2-Inch        Length,0.004,0.005,0.006,0.008,C,DS-1
